total_bill,tip,sex,smoker,day,time,size,time_order
16.99,1.01,Female,No,Sun,Dinner,2,2023-01-13
10.34,1.66,Male,No,Sun,Dinner,3,2023-01-02
21.01,3.5,Male,No,Sun,Dinner,3,2023-01-08
23.68,3.31,Male,No,Sun,Dinner,2,2023-01-27
24.59,3.61,Female,No,Sun,Dinner,4,2023-01-17
25.29,4.71,Male,No,Sun,Dinner,4,2023-01-04
8.77,2.0,Male,No,Sun,Dinner,2,2023-01-27
26.88,3.12,Male,No,Sun,Dinner,4,2023-01-29
15.04,1.96,Male,No,Sun,Dinner,2,2023-01-20
14.78,3.23,Male,No,Sun,Dinner,2,2023-01-27
10.27,1.71,Male,No,Sun,Dinner,2,2023-01-19
35.26,5.0,Female,No,Sun,Dinner,4,2023-01-18
15.42,1.57,Male,No,Sun,Dinner,2,2023-01-30
18.43,3.0,Male,No,Sun,Dinner,4,2023-01-23
14.83,3.02,Female,No,Sun,Dinner,2,2023-01-07
21.58,3.92,Male,No,Sun,Dinner,2,2023-01-27
10.33,1.67,Female,No,Sun,Dinner,3,2023-01-21
16.29,3.71,Male,No,Sun,Dinner,3,2023-01-23
16.97,3.5,Female,No,Sun,Dinner,3,2023-01-22
20.65,3.35,Male,No,Sat,Dinner,3,2023-01-24
17.92,4.08,Male,No,Sat,Dinner,2,2023-01-28
20.29,2.75,Female,No,Sat,Dinner,2,2023-01-09
15.77,2.23,Female,No,Sat,Dinner,2,2023-01-04
39.42,7.58,Male,No,Sat,Dinner,4,2023-01-19
19.82,3.18,Male,No,Sat,Dinner,2,2023-01-21
17.81,2.34,Male,No,Sat,Dinner,4,2023-01-09
13.37,2.0,Male,No,Sat,Dinner,2,2023-01-01
12.69,2.0,Male,No,Sat,Dinner,2,2023-01-07
21.7,4.3,Male,No,Sat,Dinner,2,2023-01-24
19.65,3.0,Female,No,Sat,Dinner,2,2023-01-02
9.55,1.45,Male,No,Sat,Dinner,2,2023-01-30
18.35,2.5,Male,No,Sat,Dinner,4,2023-01-03
15.06,3.0,Female,No,Sat,Dinner,2,2023-01-07
20.69,2.45,Female,No,Sat,Dinner,4,2023-01-29
17.78,3.27,Male,No,Sat,Dinner,2,2023-01-20
24.06,3.6,Male,No,Sat,Dinner,3,2023-01-05
16.31,2.0,Male,No,Sat,Dinner,3,2023-01-02
16.93,3.07,Female,No,Sat,Dinner,3,2023-01-27
18.69,2.31,Male,No,Sat,Dinner,3,2023-01-01
31.27,5.0,Male,No,Sat,Dinner,3,2023-01-17
16.04,2.24,Male,No,Sat,Dinner,3,2023-01-02
17.46,2.54,Male,No,Sun,Dinner,2,2023-01-29
13.94,3.06,Male,No,Sun,Dinner,2,2023-01-17
9.68,1.32,Male,No,Sun,Dinner,2,2023-01-09
30.4,5.6,Male,No,Sun,Dinner,4,2023-01-02
18.29,3.0,Male,No,Sun,Dinner,2,2023-01-18
22.23,5.0,Male,No,Sun,Dinner,2,2023-01-16
32.4,6.0,Male,No,Sun,Dinner,4,2023-01-01
28.55,2.05,Male,No,Sun,Dinner,3,2023-01-05
18.04,3.0,Male,No,Sun,Dinner,2,2023-01-30
12.54,2.5,Male,No,Sun,Dinner,2,2023-01-20
10.29,2.6,Female,No,Sun,Dinner,2,2023-01-27
34.81,5.2,Female,No,Sun,Dinner,4,2023-01-06
9.94,1.56,Male,No,Sun,Dinner,2,2023-01-04
25.56,4.34,Male,No,Sun,Dinner,4,2023-01-10
19.49,3.51,Male,No,Sun,Dinner,2,2023-01-27
38.01,3.0,Male,Yes,Sat,Dinner,4,2023-01-21
26.41,1.5,Female,No,Sat,Dinner,2,2023-01-04
11.24,1.76,Male,Yes,Sat,Dinner,2,2023-01-15
48.27,6.73,Male,No,Sat,Dinner,4,2023-01-06
20.29,3.21,Male,Yes,Sat,Dinner,2,2023-01-26
13.81,2.0,Male,Yes,Sat,Dinner,2,2023-01-10
11.02,1.98,Male,Yes,Sat,Dinner,2,2023-01-27
18.29,3.76,Male,Yes,Sat,Dinner,4,2023-01-15
17.59,2.64,Male,No,Sat,Dinner,3,2023-01-04
20.08,3.15,Male,No,Sat,Dinner,3,2023-01-04
16.45,2.47,Female,No,Sat,Dinner,2,2023-01-03
